,code,clientType,registrationMode,planName,accident,duration,country,netSales,netProfit,gender,age
1,CBH,Basic,Offline,M,0,186,MALAYSIA,-29,9.57,F,81
2,CBH,Basic,Offline,M,0,186,MALAYSIA,-29,9.57,F,71
3,CWT,Basic,Online,Q,0,65,AUSTRALIA,-49.5,29.7,,32
4,CWT,Basic,Online,Q,0,60,AUSTRALIA,-39.6,23.76,,32
5,CWT,Basic,Online,Q,0,79,ITALY,-19.8,11.88,,41
6,JZI,Premium,Online,Z,0,66,UNITED STATES,-121,42.35,F,44
7,CWT,Basic,Online,Q,0,63,AUSTRALIA,-108.9,65.34,,29
8,CWT,Basic,Online,Q,0,57,THAILAND,-19.8,11.88,,44
9,CWT,Basic,Online,Q,0,186,AUSTRALIA,-99,59.4,,37
10,JZI,Premium,Online,I,0,33,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-26,9.1,,118
11,JZI,Premium,Online,I,0,1,MALAYSIA,-18,6.3,M,47
12,KML,Basic,Online,P,0,53,NORWAY,-130,49.4,F,48
13,CWT,Basic,Online,Q,0,5,MALAYSIA,-39.6,23.76,,64
14,EPX,Basic,Online,B,0,39,VIET NAM,-25,0,,36
15,CWT,Basic,Online,Q,0,6,DENMARK,-19.8,11.88,,53
16,CWT,Basic,Online,Q,0,48,DENMARK,-79.2,47.52,,43
17,CWT,Basic,Online,Q,0,11,UNITED STATES,-29.7,17.82,,58
18,JZI,Premium,Online,I,0,3,MALAYSIA,-18,6.3,M,47
19,CWT,Basic,Online,Q,0,14,THAILAND,-69.3,41.58,,37
20,C2B,Premium,Online,J,0,12,SINGAPORE,46.15,11.54,F,44
21,C2B,Premium,Online,J,0,7,SINGAPORE,17.55,4.39,F,25
22,C2B,Premium,Online,J,1,12,SINGAPORE,94,23.5,M,34
23,C2B,Premium,Online,R,0,190,SINGAPORE,294.75,73.69,M,26
24,C2B,Premium,Online,E,0,364,SINGAPORE,389,97.25,F,30
25,CWT,Basic,Online,Q,0,29,UNITED STATES,9.9,5.94,,33
26,CWT,Basic,Online,Q,0,28,UNITED STATES,9.9,5.94,,33
27,CWT,Basic,Online,Q,0,153,JAPAN,69.3,41.58,,35
28,CWT,Basic,Online,Q,0,28,UNITED KINGDOM,19.8,11.88,,31
29,CWT,Basic,Online,Q,0,54,AUSTRALIA,0,41.58,,31
30,CWT,Basic,Online,Q,0,24,AUSTRALIA,89.1,53.46,,33
31,EPX,Basic,Online,B,0,9,INDONESIA,25,0,,36
32,EPX,Basic,Online,B,0,12,MALAYSIA,24,0,,36
33,EPX,Basic,Online,B,0,45,MALAYSIA,20,0,,36
34,EPX,Basic,Online,B,0,35,INDIA,27,0,,36
35,EPX,Basic,Online,B,0,28,THAILAND,20,0,,44
36,EPX,Basic,Online,B,0,24,CHINA,43,0,,36
37,EPX,Basic,Online,B,0,8,FRANCE,78,0,,36
38,EPX,Basic,Online,B,0,183,INDONESIA,20,0,,36
39,EPX,Basic,Online,B,0,36,"TAIWAN, PROVINCE OF CHINA",22,0,,20
40,EPX,Basic,Online,B,0,3,VIET NAM,27,0,,46
41,EPX,Basic,Online,B,0,38,SINGAPORE,41,0,,36
42,EPX,Basic,Online,B,0,36,UNITED STATES,95,0,,49
43,EPX,Basic,Online,B,0,4,THAILAND,20,0,,50
44,EPX,Basic,Online,B,0,3,MALAYSIA,20,0,,36
45,EPX,Basic,Online,B,0,13,THAILAND,35,0,,36
46,EPX,Basic,Online,B,0,11,PHILIPPINES,43,0,,36
47,EPX,Basic,Online,B,0,27,INDONESIA,20,0,,62
48,EPX,Basic,Online,B,0,16,MYANMAR,47,0,,36
49,EPX,Basic,Online,B,0,12,CHINA,29,0,,36
50,EPX,Basic,Online,B,0,39,INDONESIA,20,0,,46
51,EPX,Basic,Online,B,0,19,MALAYSIA,20,0,,46
52,EPX,Basic,Online,B,0,18,HONG KONG,30,0,,36
53,EPX,Basic,Online,B,0,189,MALAYSIA,20,0,,46
54,EPX,Basic,Online,B,0,105,JAPAN,44,0,,25
55,EPX,Basic,Online,B,0,23,"KOREA, REPUBLIC OF",57,0,,36
56,EPX,Basic,Online,B,0,57,UNITED ARAB EMIRATES,37,0,,36
57,EPX,Basic,Online,B,0,29,"TAIWAN, PROVINCE OF CHINA",46,0,,36
58,EPX,Basic,Online,K,0,1,INDIA,10,0,,36
59,EPX,Basic,Online,K,0,15,MYANMAR,16,0,,36
60,EPX,Basic,Online,K,0,16,JAPAN,28,0,,65
61,EPX,Basic,Online,K,0,180,PHILIPPINES,21,0,,36
62,EPX,Basic,Online,K,0,90,HONG KONG,37,0,,36
63,EPX,Basic,Online,K,0,91,PHILIPPINES,18,0,,36
64,EPX,Basic,Online,K,0,2,SINGAPORE,14,0,,31
65,EPX,Basic,Online,K,0,17,THAILAND,19,0,,36
66,EPX,Basic,Online,K,0,10,PHILIPPINES,37,0,,36
67,EPX,Basic,Online,K,0,11,THAILAND,10,0,,64
68,EPX,Basic,Online,K,0,279,NAMIBIA,80,0,,36
69,EPX,Basic,Online,K,0,36,"TAIWAN, PROVINCE OF CHINA",16,0,,20
70,EPX,Basic,Online,K,0,12,UNITED STATES,39,0,,32
71,EPX,Basic,Online,K,0,18,VIET NAM,14,0,,36
72,EPX,Basic,Online,K,0,6,INDIA,25,0,,43
73,EPX,Basic,Online,K,0,18,THAILAND,10,0,,36
74,EPX,Basic,Online,K,0,2,HONG KONG,10,0,,36
75,EPX,Basic,Online,K,0,39,SINGAPORE,68,0,,36
76,EPX,Basic,Online,K,0,4,UNITED STATES,17,0,,35
77,EPX,Basic,Online,K,0,38,"KOREA, REPUBLIC OF",0,0,,36
78,EPX,Basic,Online,K,0,10,"KOREA, REPUBLIC OF",23,0,,36
79,EPX,Basic,Online,K,0,92,NEW ZEALAND,80,0,,36
80,EPX,Basic,Online,K,0,22,COSTA RICA,80,0,,24
81,EPX,Basic,Online,K,0,10,THAILAND,10,0,,30
82,EPX,Basic,Online,K,0,64,MALAYSIA,10,0,,61
83,EPX,Basic,Online,K,0,7,MALAYSIA,15,0,,36
84,EPX,Basic,Online,K,0,8,VIET NAM,0,0,,36
85,EPX,Basic,Online,K,0,37,THAILAND,30,0,,43
86,EPX,Basic,Online,K,0,2,"KOREA, REPUBLIC OF",16,0,,36
87,EPX,Basic,Online,K,0,31,"KOREA, REPUBLIC OF",58,0,,29
