code,duration,country,netSales,netProfit,age,accident
3,1.3737133744160794,78,-29.0,9.57,81,0
3,1.3737133744160794,78,-29.0,9.57,71,0
6,0.15754654397083084,4,-49.5,29.7,32,0
6,0.10729171626648172,4,-39.6,23.76,32,0
6,0.2982600615430084,60,-19.8,11.88,41,0
9,0.16759750951170066,137,-121.0,42.35,44,0
6,0.13744461288909118,4,-108.9,65.34,29,0
6,0.07713881964387224,126,-19.8,11.88,44,0
6,1.3737133744160794,4,-99.0,59.4,37,0
9,-0.16408435333700355,66,-26.0,9.1,118,0
9,-0.48571525064483795,78,-18.0,6.3,47,0
10,0.03693495748039294,95,-130.0,49.4,48,0
6,-0.4455113884813587,78,-39.6,23.76,64,0
7,-0.10377856009178461,141,-25.0,0.0,36,0
6,-0.43546042294048887,32,-19.8,11.88,53,0
6,-0.013319870223956186,32,-79.2,47.52,43,0
6,-0.38520559523613973,137,-29.7,17.82,58,0
9,-0.4656133195630983,78,-18.0,6.3,47,0
6,-0.3550526986135302,126,-69.3,41.58,37,0
2,-0.3751546296952699,116,46.15,11.54,44,0
2,-0.425409457399619,116,17.55,4.39,25,0
2,-0.3751546296952699,116,94.0,23.5,34,1
2,1.413917236579559,116,294.75,73.69,26,0
2,3.1627852406909085,116,389.0,97.25,30,0
6,-0.20428821550048287,137,9.9,5.94,33,0
6,-0.2143391810413527,137,9.9,5.94,33,0
6,1.0420315115673755,62,69.3,41.58,35,0
6,-0.2143391810413527,136,19.8,11.88,31,0
6,0.04698592302126276,4,0.0,41.58,31,0
6,-0.254543043204832,4,89.1,53.46,33,0
7,-0.40530752631787936,56,25.0,0.0,36,0
7,-0.3751546296952699,78,24.0,0.0,36,0
7,-0.04347276684656566,78,20.0,0.0,36,0
7,-0.14398242225526392,55,27.0,0.0,36,0
7,-0.2143391810413527,126,20.0,0.0,44,0
7,-0.254543043204832,26,43.0,0.0,36,0
7,-0.4153584918587492,41,78.0,0.0,36,0
7,1.34356047779347,56,20.0,0.0,36,0
7,-0.13393145671439408,123,22.0,0.0,20,0
7,-0.4656133195630983,141,27.0,0.0,46,0
7,-0.11382952563265444,116,41.0,0.0,36,0
7,-0.13393145671439408,137,95.0,0.0,49,0
7,-0.4555623540222285,126,20.0,0.0,50,0
7,-0.4656133195630983,78,20.0,0.0,36,0
7,-0.36510366415440004,126,35.0,0.0,36,0
7,-0.38520559523613973,101,43.0,0.0,36,0
7,-0.2243901465822225,56,20.0,0.0,62,0
7,-0.3349507675317906,87,47.0,0.0,36,0
7,-0.3751546296952699,26,29.0,0.0,36,0
7,-0.10377856009178461,56,20.0,0.0,46,0
7,-0.3047978709091811,78,20.0,0.0,46,0
7,-0.31484883645005096,52,30.0,0.0,36,0
7,1.403866271038689,78,20.0,0.0,46,0
7,0.5595851656056239,62,44.0,0.0,25,0
7,-0.2645940087457018,67,57.0,0.0,36,0
7,0.07713881964387224,135,37.0,0.0,36,0
7,-0.20428821550048287,123,46.0,0.0,36,0
7,-0.48571525064483795,55,10.0,0.0,36,0
7,-0.3450017330726604,87,16.0,0.0,36,0
7,-0.3349507675317906,62,28.0,0.0,65,0
7,1.3134075811708605,101,21.0,0.0,36,0
7,0.40882068249257647,52,37.0,0.0,36,0
7,0.4188716480334463,101,18.0,0.0,36,0
7,-0.47566428510396813,116,14.0,0.0,31,0
7,-0.3248998019909208,126,19.0,0.0,36,0
7,-0.39525656077700955,101,37.0,0.0,36,0
7,-0.38520559523613973,126,10.0,0.0,64,0
7,2.3084531697169735,88,80.0,0.0,36,0
7,-0.13393145671439408,123,16.0,0.0,20,0
7,-0.3751546296952699,137,39.0,0.0,32,0
7,-0.31484883645005096,141,14.0,0.0,36,0
7,-0.43546042294048887,55,25.0,0.0,43,0
7,-0.31484883645005096,126,10.0,0.0,36,0
7,-0.47566428510396813,52,10.0,0.0,36,0
7,-0.10377856009178461,116,68.0,0.0,36,0
7,-0.4555623540222285,137,17.0,0.0,35,0
7,-0.11382952563265444,67,0.0,0.0,36,0
7,-0.39525656077700955,67,23.0,0.0,36,0
7,0.4289226135743161,92,80.0,0.0,36,0
7,-0.27464497428657164,28,80.0,0.0,24,0
7,-0.39525656077700955,126,10.0,0.0,30,0
7,0.14749557842996103,78,10.0,0.0,61,0
7,-0.425409457399619,78,15.0,0.0,36,0
7,-0.4153584918587492,141,0.0,0.0,36,0
7,-0.12388049117352426,126,30.0,0.0,43,0
7,-0.47566428510396813,67,16.0,0.0,36,0
7,-0.1841862844187432,67,58.0,0.0,29,0
7,-0.08367662901004497,62,20.0,0.0,40,0
7,-0.43546042294048887,78,10.0,0.0,29,0
7,-0.4153584918587492,56,17.0,0.0,43,0
7,-0.4455113884813587,56,37.0,0.0,21,0
7,0.7706554419638901,26,27.0,0.0,36,0
7,-0.39525656077700955,87,51.0,0.0,36,0
7,-0.20428821550048287,101,13.0,0.0,21,0
