code,duration,country,netSales,netProfit,age,accident
3,186,78,-29.0,9.57,81,0
3,186,78,-29.0,9.57,71,0
6,65,4,-49.5,29.7,32,0
6,60,4,-39.6,23.76,32,0
6,79,60,-19.8,11.88,41,0
9,66,137,-121.0,42.35,44,0
6,63,4,-108.9,65.34,29,0
6,57,126,-19.8,11.88,44,0
6,186,4,-99.0,59.4,37,0
9,33,66,-26.0,9.1,118,0
9,1,78,-18.0,6.3,47,0
10,53,95,-130.0,49.4,48,0
6,5,78,-39.6,23.76,64,0
7,39,141,-25.0,0.0,36,0
6,6,32,-19.8,11.88,53,0
6,48,32,-79.2,47.52,43,0
6,11,137,-29.7,17.82,58,0
9,3,78,-18.0,6.3,47,0
6,14,126,-69.3,41.58,37,0
2,12,116,46.15,11.54,44,0
2,7,116,17.55,4.39,25,0
2,12,116,94.0,23.5,34,1
2,190,116,294.75,73.69,26,0
2,364,116,389.0,97.25,30,0
6,29,137,9.9,5.94,33,0
6,28,137,9.9,5.94,33,0
6,153,62,69.3,41.58,35,0
6,28,136,19.8,11.88,31,0
6,54,4,0.0,41.58,31,0
6,24,4,89.1,53.46,33,0
7,9,56,25.0,0.0,36,0
7,12,78,24.0,0.0,36,0
7,45,78,20.0,0.0,36,0
7,35,55,27.0,0.0,36,0
7,28,126,20.0,0.0,44,0
7,24,26,43.0,0.0,36,0
7,8,41,78.0,0.0,36,0
7,183,56,20.0,0.0,36,0
7,36,123,22.0,0.0,20,0
7,3,141,27.0,0.0,46,0
7,38,116,41.0,0.0,36,0
7,36,137,95.0,0.0,49,0
7,4,126,20.0,0.0,50,0
7,3,78,20.0,0.0,36,0
7,13,126,35.0,0.0,36,0
7,11,101,43.0,0.0,36,0
7,27,56,20.0,0.0,62,0
7,16,87,47.0,0.0,36,0
7,12,26,29.0,0.0,36,0
7,39,56,20.0,0.0,46,0
7,19,78,20.0,0.0,46,0
7,18,52,30.0,0.0,36,0
7,189,78,20.0,0.0,46,0
7,105,62,44.0,0.0,25,0
7,23,67,57.0,0.0,36,0
7,57,135,37.0,0.0,36,0
7,29,123,46.0,0.0,36,0
7,1,55,10.0,0.0,36,0
7,15,87,16.0,0.0,36,0
7,16,62,28.0,0.0,65,0
7,180,101,21.0,0.0,36,0
7,90,52,37.0,0.0,36,0
7,91,101,18.0,0.0,36,0
7,2,116,14.0,0.0,31,0
7,17,126,19.0,0.0,36,0
7,10,101,37.0,0.0,36,0
7,11,126,10.0,0.0,64,0
7,279,88,80.0,0.0,36,0
7,36,123,16.0,0.0,20,0
7,12,137,39.0,0.0,32,0
7,18,141,14.0,0.0,36,0
7,6,55,25.0,0.0,43,0
7,18,126,10.0,0.0,36,0
7,2,52,10.0,0.0,36,0
7,39,116,68.0,0.0,36,0
7,4,137,17.0,0.0,35,0
7,38,67,0.0,0.0,36,0
7,10,67,23.0,0.0,36,0
7,92,92,80.0,0.0,36,0
7,22,28,80.0,0.0,24,0
7,10,126,10.0,0.0,30,0
7,64,78,10.0,0.0,61,0
7,7,78,15.0,0.0,36,0
7,8,141,0.0,0.0,36,0
7,37,126,30.0,0.0,43,0
7,2,67,16.0,0.0,36,0
7,31,67,58.0,0.0,29,0
7,41,62,20.0,0.0,40,0
7,6,78,10.0,0.0,29,0
7,8,56,17.0,0.0,43,0
7,5,56,37.0,0.0,21,0
7,126,26,27.0,0.0,36,0
7,10,87,51.0,0.0,36,0
7,29,101,13.0,0.0,21,0
7,50,4,24.0,0.0,36,0
7,1,141,20.0,0.0,36,0
7,2,26,26.0,0.0,36,0
7,1,116,86.0,0.0,36,0
7,8,92,28.0,0.0,36,0
7,19,78,20.0,0.0,62,0
7,24,67,90.0,0.0,36,0
12,4,19,15.0,6.0,44,0
13,55,116,21.35,5.98,48,0
13,15,116,6.5,1.82,48,0
9,45,4,26.0,9.1,31,0
9,181,56,30.0,10.5,48,0
9,5,56,22.0,7.7,29,0
9,22,126,18.0,6.3,66,0
9,76,4,35.0,12.25,57,0
9,41,26,44.0,15.4,37,0
9,43,126,22.0,7.7,34,0
9,5,26,22.0,7.7,41,0
1,56,101,75.96,26.59,48,0
1,3,116,12.5,4.38,48,0
1,3,78,4.99,1.75,48,0
2,20,116,47.0,11.75,30,0
2,29,116,27.0,6.75,30,0
2,164,116,69.55,17.39,26,0
2,23,116,30.55,7.64,35,0
2,13,116,19.5,4.88,34,0
2,29,116,31.85,7.96,45,0
2,23,116,77.35,19.34,52,0
6,23,78,29.7,17.82,31,0
6,29,4,39.6,23.76,52,0
6,5,78,0.0,29.7,53,0
6,26,137,148.5,89.1,40,0
6,26,126,29.7,17.82,31,0
6,152,137,9.9,5.94,31,0
6,48,4,59.4,35.64,26,0
6,30,78,59.4,35.64,27,0
6,9,126,49.5,29.7,50,0
6,32,78,49.5,29.7,31,0
6,4,78,19.8,11.88,29,0
6,111,4,89.1,53.46,31,0
6,34,4,19.8,11.88,34,0
6,19,78,39.6,23.76,35,0
6,20,4,148.5,89.1,34,0
6,201,4,0.0,77.22,23,0
6,2,116,9.9,5.94,44,0
7,4,141,20.0,0.0,36,0
7,13,126,20.0,0.0,36,0
7,39,102,69.0,0.0,36,0
7,10,52,20.0,0.0,36,0
7,62,123,22.0,0.0,36,0
7,4,78,20.0,0.0,53,0
7,90,67,42.0,0.0,36,0
7,10,101,56.0,0.0,36,0
7,13,78,20.0,0.0,43,0
7,19,126,20.0,0.0,36,0
7,3,116,20.0,0.0,39,0
7,18,126,20.0,0.0,45,0
7,18,141,20.0,0.0,36,0
7,22,26,69.0,0.0,36,0
7,6,26,36.0,0.0,36,0
7,11,78,20.0,0.0,48,0
7,18,62,112.0,0.0,36,0
7,12,26,27.0,0.0,36,0
7,81,67,32.0,0.0,24,0
7,36,116,67.0,0.0,36,0
7,28,116,20.0,0.0,36,0
7,57,67,53.0,0.0,57,0
7,42,78,20.0,0.0,36,0
7,91,62,44.0,0.0,29,0
7,7,52,20.0,0.0,61,0
7,12,78,20.0,0.0,27,0
7,49,78,20.0,0.0,27,0
7,13,56,20.0,0.0,36,0
7,28,55,50.0,0.0,36,0
7,124,62,89.0,0.0,25,0
7,7,78,16.0,0.0,36,0
7,22,52,29.0,0.0,36,0
7,1,137,20.0,0.0,47,0
7,28,126,27.0,0.0,36,0
7,13,26,33.0,0.0,36,0
7,118,87,10.0,0.0,35,0
7,7,116,18.0,0.0,36,0
7,7,67,58.0,0.0,36,0
7,52,119,46.0,0.0,36,0
7,59,87,16.0,0.0,21,0
7,38,52,12.0,0.0,36,0
7,18,126,29.0,0.0,36,0
7,73,137,69.0,0.0,59,0
